altitude	pente	distance_horizontale_hydro	distance_verticale_hydro	distance_horizontale_route	ombrage_0900	ombrage_1200	ombrage_1500	distance_horizontale_depart_feu	zone_A	couvert
2717	8	450	4	1021	204	228	163	1065	1	1
2865	4	30	0	2938	217	231	152	2148	1	1
3106	14	297	33	3613	223	208	116	2707	1	0
2962	5	362	54	3580	223	229	141	1624	1	1
2855	6	108	17	2635	227	241	147	2505	1	0
2980	23	541	3	4973	149	221	209	366	1	1
3070	13	350	95	3743	242	223	108	2534	1	0
2867	8	85	12	2830	213	248	170	2291	1	0
2740	5	577	14	1177	212	231	156	953	1	1
3090	16	323	66	3529	237	239	127	2742	1	0
2867	14	60	8	5459	178	238	199	859	1	1
2873	14	268	41	2676	214	208	126	2688	1	1
2624	3	0	0	1339	220	232	149	228	1	1
3089	21	218	43	4852	178	198	155	658	1	1
2657	11	201	10	1200	216	215	134	85	1	1
3017	6	256	46	4224	228	230	136	1112	1	1
2928	12	127	1	3692	195	223	167	1392	1	1
3139	9	150	30	2959	235	235	130	3298	1	0
2955	3	379	-5	4207	210	236	165	2131	1	1
2906	14	268	42	3037	236	214	106	2523	1	1
2852	8	331	54	2040	209	225	153	1687	1	1
3136	14	576	90	5229	180	239	199	841	1	1
2852	8	42	3	2826	210	224	151	2738	1	1
2901	8	153	36	3090	234	228	127	2525	1	1
2704	20	60	14	1572	247	205	78	525	1	1
2872	11	242	60	2497	238	229	123	1994	1	1
2797	11	60	13	2224	238	232	124	1410	1	1
3095	15	301	33	4816	231	208	107	579	1	1
2992	6	108	8	3918	229	229	133	1537	1	1
3008	1	258	50	4436	219	236	154	2340	1	1
3019	1	42	0	4221	215	237	160	993	1	1
3136	16	661	-53	3628	199	208	144	2912	1	1
3172	3	510	64	5662	217	242	163	1216	1	1
3102	9	67	-1	5240	197	231	174	644	1	0
2925	13	309	38	3319	225	211	117	2706	1	1
3228	18	395	37	3694	198	200	136	3034	1	0
2953	7	108	7	5312	233	233	132	2064	1	0
3112	21	175	14	5121	245	200	75	60	1	1
2951	6	283	40	3573	208	232	163	2520	1	1
3091	9	120	-5	5089	225	221	130	42	1	1
2584	13	182	40	900	215	212	131	1338	1	1
2984	13	268	39	4116	228	211	113	1896	1	1
3058	9	153	25	4779	197	232	175	895	1	0
3155	8	210	55	5445	227	223	130	361	1	0
2976	7	240	22	5014	221	225	138	2554	1	0
3111	6	134	25	5235	208	231	162	335	1	0
2961	10	30	7	5226	235	222	119	2452	1	0
3087	14	674	109	6250	189	250	200	1480	1	1
2991	8	210	39	4198	226	244	151	2256	1	1
3267	7	283	62	3068	231	228	130	3989	1	0
2917	16	182	41	3573	225	205	109	2912	1	1
3064	22	90	9	4685	242	233	108	3055	1	1
2989	12	124	22	4564	207	251	179	1889	1	0
3091	2	162	7	5193	218	234	153	1134	1	0
3095	2	228	11	5187	217	234	154	1200	1	0
3161	1	170	19	5708	221	236	151	751	1	0
2947	14	31	5	4014	236	240	131	2438	1	1
2980	5	0	0	5484	224	229	141	2335	1	0
3095	8	85	0	5420	207	226	156	1087	1	0
2972	9	30	5	5489	226	221	128	2301	1	0
3117	11	212	22	5598	237	223	116	1047	1	0
2875	12	323	43	2039	230	215	116	2324	1	1
3071	12	509	55	5001	236	219	113	1579	1	0
3162	29	499	66	5835	175	171	122	1071	1	0
2843	11	0	0	1784	220	218	134	2514	1	1
3055	18	319	43	5708	191	253	197	1914	1	1
2954	10	240	78	2881	198	248	188	2353	1	1
2795	5	190	2	1153	220	229	145	2523	1	0
2991	4	371	108	2753	209	241	170	2160	1	1
2937	7	67	1	2226	227	225	132	2138	1	0
2912	17	95	6	1966	211	202	123	2177	1	1
3016	6	30	1	5155	216	228	149	2479	1	0
2763	11	517	-20	787	225	217	124	2727	1	1
2943	18	85	20	2037	189	205	151	2101	1	1
2847	10	150	7	1265	228	221	126	2378	1	1
3258	8	900	114	6407	204	229	165	1613	1	1
3081	8	134	2	5081	233	236	135	2007	1	1
2988	9	150	36	3132	199	227	167	2017	1	1
3214	6	444	66	5885	226	227	135	1816	1	0
2972	8	0	0	3337	205	229	163	2054	1	1
2970	2	0	0	2433	221	238	153	1712	1	1
3049	15	191	10	4351	240	215	101	2620	1	1
2939	4	30	0	2071	224	233	144	1672	1	1
3135	8	0	0	5370	227	224	131	2145	1	0
3242	12	481	94	5970	224	214	122	2046	1	1
3186	16	607	48	4370	217	202	116	3261	1	0
2747	8	60	-7	671	234	231	129	2232	1	0
3199	19	569	124	4307	238	198	85	3316	1	0
3072	4	242	5	5218	212	233	159	2569	1	0
3086	7	95	12	4545	232	234	135	3104	1	0
2978	10	154	-28	2240	230	219	122	1296	1	0
3163	9	277	23	5143	235	235	131	2596	1	1
3225	11	484	77	5568	207	218	147	2555	1	1
2794	17	60	12	782	169	232	202	2039	1	0
3006	11	234	0	2155	237	236	128	1026	1	1
2850	20	481	177	497	222	191	95	2403	1	1
3314	4	573	53	3586	222	231	145	4036	1	0
3139	15	376	76	4986	222	205	114	2980	1	0
3155	6	30	3	4972	212	229	155	2723	1	0
3029	9	301	21	2343	231	224	126	849	1	1
3277	3	595	86	5872	223	234	146	2836	1	1
3041	7	331	33	2467	219	228	145	810	1	1
2892	11	395	110	732	197	223	164	2184	1	1
3123	7	190	39	5180	223	224	136	3103	1	0
3135	1	95	0	4055	219	235	153	1632	1	1
2896	9	30	5	1379	232	227	128	1519	1	1
3154	6	351	18	4471	227	228	136	1978	1	1
2925	5	67	10	1657	229	234	139	1245	1	0
3041	4	67	2	2911	218	231	149	404	1	0
2852	15	459	-74	598	225	209	115	2251	1	1
3142	2	85	5	4184	222	236	150	1638	1	0
3240	21	524	136	4860	236	197	85	3094	1	0
3095	10	285	2	3613	226	245	150	967	1	0
3204	6	404	15	5807	228	228	135	2920	1	1
2968	14	108	25	1944	181	230	189	1110	1	0
3059	3	228	10	3185	219	232	149	395	1	0
3006	11	171	34	2363	234	241	138	636	1	0
2970	6	295	-17	1477	221	227	142	1776	1	0
3215	7	564	67	5968	203	242	179	2639	1	0
3020	11	408	14	2821	191	241	190	216	1	0
2931	5	30	3	866	224	230	140	2249	1	1
3074	1	404	19	3303	216	240	161	488	1	0
3036	12	424	25	3055	226	214	120	335	1	0
3248	7	371	69	4282	219	226	143	2856	1	0
3093	4	30	2	3963	215	232	156	1160	1	0
3094	10	150	8	3849	204	223	158	1033	1	0
3110	15	306	33	3711	194	211	153	890	1	0
3013	4	30	0	2993	217	243	163	646	1	0
3120	15	150	22	4070	181	226	184	1209	1	0
3049	3	192	27	2106	211	236	164	1409	1	0
3194	1	362	27	5923	216	239	160	2165	1	1
3046	9	30	3	3449	236	227	122	485	1	0
3028	11	60	0	3376	228	216	120	391	1	0
2979	13	30	3	1529	242	226	111	1960	1	0
3006	10	30	3	2767	196	229	173	752	1	0
3057	5	0	0	3618	226	240	148	446	1	1
3228	5	175	10	4680	229	235	139	2041	1	0
3044	8	242	57	2571	199	241	182	920	1	0
3221	4	120	9	4752	226	233	143	1979	1	0
3192	1	576	9	5315	219	235	153	2210	1	0
3040	9	242	40	2620	195	237	182	866	1	0
3013	10	30	0	1698	224	218	127	1812	1	1
3133	25	90	38	4651	169	187	149	1481	1	0
3027	12	67	12	2831	188	230	182	655	1	0
2860	20	342	179	362	226	194	93	1499	1	1
3202	4	258	16	5955	207	239	170	1774	1	1
3172	1	319	10	4326	219	239	157	992	1	0
3073	16	108	13	2239	242	212	96	1291	1	0
2973	12	382	64	872	223	213	122	2006	1	1
2971	11	424	62	860	230	217	118	1989	1	1
3215	10	458	-7	5393	191	238	187	1878	1	0
3050	8	247	0	2053	202	231	168	1608	1	0
3109	23	270	35	4265	249	221	86	792	1	1
3039	5	30	0	3700	222	229	142	379	1	0
2993	13	577	41	1138	224	211	119	2255	1	1
3127	11	127	-16	4566	234	241	138	1100	1	0
3156	16	162	0	4784	239	237	123	1316	1	0
3309	21	42	10	3944	232	191	82	1633	1	0
3033	7	566	53	1315	213	227	151	2455	1	1
3307	16	234	73	4331	243	213	96	1231	1	0
3238	9	402	25	5563	235	236	133	1332	1	0
2933	15	0	0	592	237	209	99	1879	1	1
2908	16	0	1	513	229	204	105	1824	1	1
3163	11	247	27	2871	216	215	133	1256	1	0
3156	10	240	21	2817	221	218	131	1302	1	0
3157	12	270	57	2553	222	213	124	1664	1	0
2914	16	212	-24	552	239	209	97	1981	1	1
3195	6	240	-17	3072	210	230	158	1322	1	1
3097	15	67	14	4663	180	234	194	1383	1	0
3037	5	319	9	1410	223	229	142	2635	1	1
3166	14	309	90	4463	182	232	190	1291	1	0
3248	4	108	2	5532	210	236	165	553	1	0
3022	7	124	9	1253	229	227	132	2525	1	1
3054	6	351	11	1665	221	227	142	2751	1	0
3142	13	42	0	3716	186	230	184	1283	1	0
3073	16	210	21	1736	225	203	107	2818	1	1
3195	1	0	0	5499	217	239	159	1003	1	0
3168	14	201	25	4670	180	232	192	1154	1	0
2912	18	0	0	543	228	198	96	2329	1	1
3291	5	270	26	5670	211	232	159	511	1	1
3255	5	90	3	6335	229	234	139	323	1	0
3275	7	42	1	5313	229	226	130	212	1	0
2986	14	96	20	720	183	223	179	2647	1	1
3199	5	127	-14	2523	223	229	142	2588	1	0
3224	8	134	19	4937	198	242	184	618	1	0
3243	4	277	28	4804	212	245	170	671	1	0
3200	3	95	-14	2490	224	235	146	2674	1	0
2936	18	120	-7	511	246	216	93	2556	1	1
3230	6	108	15	4954	211	246	172	497	1	0
3224	3	216	-4	4615	222	239	153	732	1	1
2680	17	85	5	1284	205	202	130	1838	0	1
3268	9	60	8	6133	196	244	187	297	1	0
2730	19	86	13	1448	186	204	153	2012	0	1
3236	6	108	5	4596	205	232	165	731	1	0
3225	9	85	12	2415	233	225	126	2888	1	0
3297	1	201	24	6199	218	239	157	351	1	0
3217	9	42	7	2359	235	229	125	2946	1	1
3249	8	210	21	4188	205	228	162	1114	1	0
3291	4	108	23	5778	226	236	145	658	1	0
3309	7	390	81	3900	213	225	149	1410	1	0
2744	14	120	33	1188	189	222	173	2075	0	1
3068	10	190	28	1283	232	222	122	2218	1	1
3327	27	391	71	5213	183	173	116	430	1	0
3302	5	120	42	6066	229	234	139	661	1	0
2843	17	67	0	1702	178	216	177	2529	0	1
3337	8	270	69	5368	198	233	174	953	1	0
3212	11	0	0	2854	222	215	128	2584	1	0
2814	30	408	50	1101	225	163	51	2014	0	1
2866	22	108	35	1566	167	200	168	2529	0	1
2924	32	816	547	886	122	231	238	2554	0	1
3243	10	192	33	3078	237	224	118	2395	1	0
2475	25	285	98	577	150	208	194	1180	0	1
2959	3	451	112	1559	218	242	161	2382	0	1
3086	11	42	3	2072	230	218	121	2048	1	0
3144	10	30	0	2525	210	218	144	2415	1	0
3023	4	553	180	2080	220	230	146	2864	0	1
3361	11	459	21	3274	188	236	188	1716	1	0
2930	5	283	67	1727	213	244	168	2748	0	1
3273	20	212	54	2604	248	210	81	2699	1	0
2788	8	0	0	488	225	222	130	875	1	1
2946	12	319	73	1694	240	229	117	2860	0	1
3015	5	690	129	1571	224	241	151	2069	0	1
2743	40	553	260	900	83	207	246	1772	0	1
2824	11	0	0	1440	240	230	119	2334	0	0
2630	13	0	0	1573	206	212	142	1149	0	0
3387	7	342	11	2991	205	245	179	1974	1	0
2770	28	511	246	1075	151	247	225	1630	0	1
2710	25	285	133	1041	142	230	224	1986	0	1
2697	23	175	100	1203	175	194	152	797	0	1
2711	12	0	0	1261	238	235	125	1831	0	0
2968	2	242	25	1752	215	235	158	2323	0	1
3085	7	437	-96	1558	221	224	138	1187	1	0
3287	9	339	96	1922	221	221	134	2415	1	0
2942	14	67	16	1318	188	218	169	2391	0	1
2585	38	67	40	1124	100	224	247	1236	0	1
2875	8	108	-1	930	232	228	129	2132	0	0
2848	21	96	35	930	250	210	77	2130	0	1
2817	21	212	61	1423	216	190	101	1507	0	1
3059	15	696	232	1174	238	211	100	810	1	0
2894	23	268	107	1150	149	224	213	1189	0	1
3154	7	295	-11	1090	232	236	136	1299	1	1
2842	23	450	-27	871	182	188	138	234	0	1
2725	23	42	9	1116	174	193	152	713	0	1
2985	12	67	14	1597	239	234	122	1794	0	1
2963	11	108	22	402	231	218	118	1530	0	1
2784	25	319	161	1074	178	183	136	939	0	1
2941	16	0	0	405	229	203	102	1492	0	1
2719	16	228	-7	1866	173	238	205	497	0	1
2858	13	0	0	788	236	215	108	1667	0	1
3247	7	30	3	2423	215	247	168	2885	1	1
2870	16	67	-9	2106	179	246	207	1036	0	1
2983	18	376	102	595	184	206	158	1598	0	1
3020	13	124	29	134	228	211	113	1296	0	1
2892	22	201	30	534	183	198	150	469	0	1
3193	28	660	39	1087	250	214	71	2431	1	0
3031	18	85	11	513	169	243	211	966	0	1
2836	25	124	38	1259	162	195	167	1674	0	0
3299	10	552	78	3695	212	250	172	2512	1	0
3018	16	150	51	212	231	206	103	503	0	1
3286	6	467	65	3674	216	246	166	2605	1	0
2771	7	216	47	1782	230	239	142	371	0	0
2970	10	484	106	1560	200	248	186	1325	0	1
2884	17	636	0	1214	172	226	193	1269	0	1
3260	11	309	59	3612	213	250	172	2839	1	0
2967	16	350	86	780	241	235	118	2640	1	1
3266	13	272	90	3401	228	246	147	2989	1	0
2873	20	511	225	1199	160	236	214	1430	0	1
2839	26	90	31	120	156	192	169	902	1	0
3049	13	335	59	1836	224	248	154	3774	1	0
2881	16	90	-3	1115	246	223	101	633	0	0
2892	15	342	125	1818	245	223	103	1140	0	1
2814	21	60	30	2130	181	198	151	957	0	1
2997	19	481	165	484	164	229	204	1167	1	1
2912	15	42	12	805	179	224	184	2714	1	0
2935	3	242	15	1170	224	236	147	285	0	0
2897	16	270	87	277	245	221	99	725	1	1
2995	4	0	0	2259	225	232	142	4117	1	0
3025	25	537	186	551	162	195	167	1489	1	1
3078	23	42	2	2742	225	185	83	4006	1	0
2881	16	192	10	1543	203	206	137	1008	0	1
2882	7	108	11	1610	229	228	133	1103	0	1
3017	20	163	26	2271	202	194	123	4201	1	0
2902	15	446	143	2629	182	223	181	1130	0	1
2889	11	362	47	2554	212	217	141	1130	0	0
2891	7	85	6	1691	231	229	130	1003	0	1
3050	34	228	64	2316	169	153	104	4243	1	0
3190	16	108	15	3195	186	215	166	3928	1	0
2928	7	618	86	2800	219	224	142	1200	0	0
2959	12	285	23	1549	212	214	136	664	0	0
2975	16	162	30	1612	241	212	97	3492	1	0
3089	23	306	119	1945	195	188	122	3833	1	0
2957	10	457	42	2877	194	232	178	1455	0	1
2947	18	420	58	2446	212	199	118	1471	0	0
2829	17	108	7	2550	177	218	179	1209	0	1
3104	28	331	129	1981	241	176	46	3834	1	0
3005	15	285	70	1486	182	222	179	3235	1	0
2969	6	95	6	1657	208	231	161	3439	1	0
2894	14	285	84	285	243	228	110	1273	1	0
2883	14	228	73	229	242	232	117	1213	1	0
3178	18	666	73	924	240	205	89	1894	1	1
2872	15	150	19	2322	245	226	105	626	0	1
3231	23	582	126	1116	244	197	72	2101	1	1
2942	2	124	5	1620	215	239	161	162	0	1
3082	28	470	-21	720	248	183	46	1746	1	0
3205	31	535	50	1691	118	218	232	3163	1	0
3276	10	255	49	1601	222	218	130	2897	1	0
2928	11	30	-4	2249	235	221	116	538	0	0
2958	5	85	8	1158	208	242	172	256	0	1
3076	21	95	9	2022	155	225	207	3319	1	0
3166	19	192	61	1095	249	220	92	2200	1	0
2929	19	95	0	2281	228	196	93	408	0	0
3106	31	120	39	2084	122	217	227	3238	1	0
2929	11	0	0	573	239	232	122	2367	0	1
2998	13	404	29	2700	236	216	108	1533	0	0
3076	11	95	8	845	233	220	117	2051	1	0
2871	6	0	0	983	231	236	138	2353	0	1
3039	13	90	-1	671	236	216	109	1895	1	0
2894	9	124	0	849	234	228	125	2471	0	1
3141	11	342	99	551	219	249	163	779	0	1
3143	24	313	26	2589	160	197	171	2792	1	0
2856	7	150	0	1103	228	228	134	2533	0	1
3068	9	120	14	540	198	244	185	875	0	1
2833	7	61	-3	960	229	228	133	2472	0	1
3052	17	120	21	2844	173	228	194	2701	1	0
3009	13	339	25	3000	194	249	193	722	0	1
3316	21	162	33	1878	250	209	78	2908	1	0
3162	15	0	0	1414	244	225	106	2647	1	0
3022	6	342	0	1110	213	229	153	592	0	1
3020	5	331	-18	3081	206	240	173	830	0	0
3075	14	85	18	495	240	215	102	577	0	0
3093	13	335	39	700	216	251	167	1087	0	1
3060	13	30	3	3102	187	225	178	2492	1	0
3052	22	180	29	810	202	254	177	1033	0	1
3254	32	150	30	2899	116	205	220	2437	1	0
3029	13	109	27	2911	186	246	199	942	0	1
3073	9	30	1	3615	235	229	125	2292	1	0
3049	25	531	39	572	233	184	70	1544	1	0
2843	15	30	1	1146	233	243	136	2208	0	0
3054	24	552	44	573	229	182	73	1541	1	0
3083	3	331	27	3208	215	234	156	1379	0	1
2773	19	60	21	362	242	234	114	2568	0	1
2719	10	376	37	446	232	222	122	1158	0	1
3415	32	30	22	2969	116	222	237	2161	1	0
2914	21	124	44	1290	201	190	119	1951	0	1
3002	3	212	17	2040	216	232	154	1177	0	1
3170	19	212	8	3530	166	223	196	1951	1	0
2897	13	495	65	577	241	221	107	1370	0	1
2721	16	450	59	499	220	203	113	1101	0	1
3194	34	485	81	845	225	151	0	1742	1	0
2973	7	30	0	2007	218	224	142	2711	0	0
3168	10	90	15	1434	206	222	154	2345	1	0
3098	14	201	3	1369	198	213	153	430	0	0
2841	6	716	15	660	228	236	141	1323	0	0
3524	2	300	110	2912	214	237	161	1909	1	0
3042	21	285	62	2531	159	221	200	1323	0	1
3490	17	534	56	2739	232	204	99	1871	1	0
3255	18	180	40	1831	237	203	90	2320	1	0
2877	15	342	89	1509	226	207	111	2839	0	0
3035	14	180	5	1687	222	209	118	1187	0	0
2949	12	42	-2	379	240	226	114	1265	1	0
2936	16	60	-8	323	244	213	94	1209	1	0
2799	10	150	26	829	235	222	119	2694	0	1
3348	23	390	133	2059	199	183	112	2067	1	0
2805	10	313	17	1032	218	219	136	1230	0	0
3475	25	750	260	2420	209	175	89	1806	1	0
3077	18	268	1	1832	236	201	90	1015	0	0
2931	10	350	57	1900	226	218	127	2555	0	1
3339	9	134	13	1293	232	238	138	1560	0	0
3148	12	162	13	1746	215	215	135	700	0	0
2826	13	339	38	1091	226	211	116	1381	0	1
3082	12	319	77	2576	186	239	192	1741	0	1
2706	17	335	-14	765	230	203	101	228	0	1
2688	11	376	-27	731	226	215	122	150	0	1
3218	27	339	93	4412	165	183	149	1544	1	0
2918	9	30	9	2010	221	219	133	2116	0	0
2702	15	42	7	984	206	254	179	1855	0	0
3094	7	212	33	2408	210	226	154	2084	0	1
3015	7	30	0	1980	211	226	153	3097	0	1
2954	8	335	73	2029	223	222	133	2497	0	1
2925	8	0	0	2070	206	226	160	2135	0	0
2919	6	454	138	1200	231	234	137	1766	0	1
2734	11	228	12	872	230	218	120	324	0	1
3069	30	212	-42	570	251	183	39	1544	1	0
3101	5	376	24	2621	229	234	138	1889	0	0
3085	12	306	47	693	240	230	118	1643	1	0
3067	1	150	0	2343	220	238	155	2028	0	1
2950	15	30	9	2280	212	208	129	2134	0	0
2901	9	518	114	1410	228	244	148	1624	0	1
2783	11	60	2	1293	222	216	128	1120	0	1
3183	31	427	131	1031	251	179	32	1846	1	0
2881	12	216	-1	1549	199	220	158	2835	0	1
3120	10	310	46	2030	200	225	163	2419	0	1
3362	6	541	77	1800	231	233	136	1909	1	0
3420	26	430	110	3591	182	253	196	855	1	0
3308	17	395	23	1579	244	217	98	2093	1	0
3104	9	134	23	1507	234	238	134	2984	0	0
3355	10	297	38	3773	209	250	176	785	1	0
2867	21	120	2	170	229	190	84	859	1	0
2975	23	120	-2	444	214	183	94	1123	1	0
3110	4	192	41	1320	226	233	143	2947	0	1
3666	20	994	411	2613	249	210	81	1129	1	0
2757	21	283	92	1814	215	188	99	1034	0	1
3453	22	598	167	2121	240	193	73	1543	1	0
3077	31	300	90	2689	160	165	129	2522	0	1
3021	34	300	16	2249	150	161	134	3007	0	1
2726	24	330	118	1793	189	254	191	1429	0	1
3138	27	125	-13	912	234	175	58	1273	1	0
3508	22	811	223	2383	251	211	77	1261	1	0
2970	18	192	42	480	247	214	89	785	1	0
3185	9	726	104	1238	229	222	126	2393	0	0
2918	6	661	287	702	211	228	154	511	0	1
2822	9	330	56	2093	236	233	128	732	0	1
3209	14	268	44	3060	240	217	104	2054	0	0
2598	10	31	1	2173	219	218	133	1301	0	0
3505	22	902	220	2506	248	202	72	1113	1	0
3035	24	42	-1	648	252	212	73	793	1	0
3481	18	875	196	2476	245	208	85	1154	1	0
3291	25	300	12	1663	244	189	62	1742	1	0
2847	21	362	81	2230	205	189	115	616	0	1
2610	20	212	67	1663	219	191	99	1415	0	1
3471	17	872	186	2468	245	210	89	1176	1	0
2650	16	108	27	2410	239	210	96	1110	0	1
2629	16	190	33	2250	183	216	170	1572	0	1
3446	4	799	161	2379	227	237	146	1291	1	0
3417	9	595	138	2101	229	224	127	1590	1	0
3207	5	558	24	888	205	240	174	1920	0	0
2655	11	0	0	2608	228	217	121	1061	0	1
3244	15	150	39	3511	214	206	124	2250	0	0
3262	18	211	68	3540	219	197	106	2184	0	0
3263	13	108	31	3600	193	220	166	2460	0	0
2784	32	313	135	1907	124	235	239	1383	0	1
3089	9	458	63	2249	224	246	154	1579	0	1
3153	4	90	18	916	216	244	165	1633	0	0
2748	9	497	110	2631	211	221	146	1511	0	1
3268	12	285	70	1624	239	233	122	1558	1	1
2848	17	163	50	3187	172	224	190	446	0	1
3136	14	216	-31	1224	241	216	101	1114	1	1
3043	13	1218	245	2899	220	210	122	1064	0	1
3095	16	1318	226	2911	227	203	105	1329	0	1
2873	8	268	75	3273	205	229	163	553	0	1
2816	16	120	38	3270	232	205	100	757	0	1
3242	9	170	2	2917	234	238	135	765	1	0
3216	5	278	35	376	208	233	163	1236	0	0
3235	3	175	11	150	218	233	153	1237	0	0
2886	9	351	87	3363	217	220	138	624	0	1
2810	9	283	48	3204	216	220	140	1140	0	1
3171	15	957	21	3121	239	237	123	2672	0	1
3195	5	0	0	2608	226	230	138	920	1	0
3233	13	658	19	2996	239	236	124	3059	0	1
3073	11	60	16	1500	192	244	192	1682	0	0
3387	9	564	119	3449	214	248	169	150	0	0
3343	17	787	104	2916	246	227	105	2554	0	0
2880	35	295	129	2481	126	239	238	741	0	1
2992	9	0	0	2070	199	245	185	1307	0	0
2939	11	787	141	3255	228	215	121	793	0	1
3175	10	85	-3	2407	233	240	137	966	1	0
3233	13	577	117	2783	242	231	117	3303	0	1
2977	16	696	179	3030	195	209	150	878	0	1
3127	13	182	6	2084	221	249	158	641	1	0
3244	22	558	127	2631	251	215	81	2732	0	0
3211	23	488	-20	2089	195	254	184	1008	1	1
3177	13	306	61	2580	224	248	153	3123	0	1
3312	11	277	44	3174	213	250	171	607	0	0
2794	24	124	75	2069	252	212	73	446	0	1
3013	13	95	14	1848	189	244	194	1412	0	0
3131	1	488	68	1187	215	239	161	1099	0	0
2868	33	153	68	752	236	157	27	677	1	1
3093	19	277	20	2431	225	247	146	3378	0	1
2595	8	360	56	1320	223	223	135	1724	0	1
3244	9	258	44	3037	231	239	140	277	0	0
3219	9	603	103	2377	236	234	128	2642	0	0
3072	22	331	41	2423	224	246	143	3175	0	1
3044	22	391	63	1849	239	236	116	1482	1	0
3233	13	366	33	3192	219	250	161	418	0	0
3304	17	541	103	2846	228	246	144	1019	0	1
3035	15	420	68	2563	244	229	111	2750	0	1
2810	21	300	-35	2591	157	229	210	175	0	0
3220	5	451	72	792	219	244	160	499	0	0
3104	12	150	40	1503	200	251	187	1129	0	0
2918	12	1006	123	2582	207	252	179	1354	0	1
3152	11	60	0	1736	217	216	133	277	1	0
2835	29	319	-23	2646	130	231	233	183	0	0
3262	8	641	28	630	203	245	180	649	0	0
2986	16	931	189	2605	236	240	129	1414	0	1
3225	24	300	21	1981	243	189	62	800	1	0
3286	6	658	96	696	205	234	168	725	0	0
3375	12	840	118	1048	190	244	195	2190	0	0
3195	20	150	20	1624	195	196	133	331	1	0
3068	3	85	4	1906	217	233	154	1292	0	0
3401	13	666	201	2321	216	251	166	912	0	0
2893	13	234	34	2371	212	252	172	2270	0	1
3004	6	212	22	2735	204	235	170	685	0	0
3010	17	108	14	1966	238	207	94	3450	0	0
3033	16	180	17	1892	221	204	113	3532	0	0
3262	5	805	131	1860	213	244	169	2356	0	0
3184	23	350	122	1237	207	184	104	319	1	0
3346	8	270	35	969	217	247	165	1771	0	0
2884	8	30	3	2210	219	222	139	2701	0	1
3024	25	552	74	2964	145	212	202	499	0	0
3108	23	67	26	2731	173	253	210	1293	0	1
3128	9	485	102	1681	229	222	125	3482	0	0
3181	12	90	13	1310	195	225	170	153	0	0
3268	9	210	40	1243	222	246	158	1006	0	0
3077	14	0	0	2784	206	253	181	1222	0	1
2902	12	180	15	2112	238	225	117	2870	0	1
3193	5	151	7	1354	222	229	144	190	0	0
2774	22	319	108	2021	218	249	153	2151	0	1
3267	15	616	208	1019	213	207	126	466	1	0
3202	11	390	127	1001	215	216	137	680	1	0
2748	10	0	0	2024	212	219	144	1018	0	1
2751	16	30	7	2233	185	213	166	882	0	0
3158	10	240	6	3048	237	225	118	977	0	0
3220	14	247	66	3328	239	215	103	819	0	0
2802	21	120	24	1860	194	254	191	2230	0	1
2744	20	277	64	1842	249	221	91	2248	0	1
3348	10	134	14	1302	191	238	187	2001	0	0
3162	17	295	8	3046	247	219	95	1003	0	1
3313	17	914	232	1434	240	206	91	3113	0	0
3035	5	30	0	2639	228	239	147	1350	0	1
3251	7	85	4	1739	232	238	138	2085	0	0
3217	20	108	7	2029	205	192	117	1772	0	0
3052	11	499	78	2905	188	235	188	1129	0	0
3178	23	95	24	2438	214	183	94	1490	0	0
2996	15	671	115	1679	233	208	102	2899	0	1
3119	26	85	23	2993	202	251	170	1114	0	0
3290	14	323	62	1711	185	224	177	845	0	0
2831	14	256	56	1595	218	207	122	2647	0	1
2991	15	760	155	1529	219	207	119	2768	0	1
3279	13	794	204	577	240	220	107	1182	1	0
3108	11	309	-29	2588	197	249	190	618	0	0
3239	11	30	-1	1087	230	244	144	1173	1	0
3094	12	569	-9	2803	189	229	180	765	0	0
3233	12	779	43	2002	204	216	149	541	0	0
2840	37	120	69	2173	101	223	246	1410	0	0
3079	22	297	82	1781	250	221	87	2205	0	1
3260	7	778	51	2018	205	229	162	607	0	0
3274	8	731	48	2001	216	222	142	685	0	0
2850	15	420	89	1290	193	211	155	2802	0	1
3393	8	297	46	1899	221	246	160	2215	0	0
3036	27	335	76	1811	225	241	130	2197	0	1
2851	28	162	70	2282	143	242	231	1584	0	0
2877	5	0	0	1839	223	229	142	1921	0	1
3012	6	30	0	2984	231	235	137	1587	0	0
3063	14	212	46	1240	192	250	195	2725	0	0
3355	16	872	63	2233	175	225	189	1020	0	0
3348	11	30	8	2106	192	246	192	2131	0	0
3191	17	376	119	3258	202	202	133	1622	0	0
2905	35	175	124	2483	134	243	230	1736	0	0
2936	23	0	0	1471	186	254	197	2574	0	1
3266	13	256	83	994	220	211	123	1682	1	0
3036	13	511	91	2790	183	231	188	1744	0	0
3149	5	30	2	323	216	229	150	1591	1	0
3188	12	450	149	3562	200	218	156	1770	0	0
3397	11	525	105	2560	199	224	164	1230	0	0
3271	21	641	217	3664	208	190	111	1948	0	0
2867	3	68	1	1489	220	242	157	2695	0	1
3061	9	180	10	2908	194	239	184	601	0	0
3049	3	85	2	2782	221	232	149	902	0	0
3247	5	182	-6	752	227	230	137	1895	1	0
3276	14	108	1	2903	193	251	194	577	0	0
3449	13	547	80	2700	234	241	136	1616	0	0
3293	6	60	10	2889	221	245	159	730	0	0
3053	11	446	78	2252	221	215	127	2361	0	0
